InputSize,MemoryUsage,
10000,4035176,
20000,8070352,
30000,12105528,
40000,16140704,
50000,20175880,
60000,24211056,
70000,28246232,
80000,32281408,
90000,36316584,
100000,40351760,
110000,44386936,
120000,48422112,
130000,52457288,
140000,56492464,
150000,60527640,
160000,64562816,
170000,68597992,
180000,72633168,
190000,76668344,
200000,80703520,
210000,84738696,
220000,88773872,
230000,92809048,
240000,96844224,
250000,100879400,
260000,104914576,
270000,108949752,
280000,112984928,
290000,117020104,
300000,121055280,
