InputSize,MemoryUsage,
10000,2663472,
20000,5326944,
30000,7990416,
40000,10653888,
50000,13317360,
60000,15980832,
70000,18644304,
80000,21307776,
90000,23971248,
100000,26634720,
110000,29298192,
120000,31961664,
130000,34625136,
140000,37288608,
150000,39952080,
160000,42615552,
170000,45279024,
180000,47942496,
190000,50605968,
200000,53269440,
210000,55932912,
220000,58596384,
230000,61259856,
240000,63923328,
250000,66586800,
260000,69250272,
270000,71913744,
280000,74577216,
290000,77240688,
300000,79904160,
