InputSize,MemoryUsage,
10000,1331784,
20000,2663568,
30000,3995352,
40000,5327136,
50000,6658920,
60000,7990704,
70000,9322488,
80000,10654272,
90000,11986056,
100000,13317840,
110000,14649624,
120000,15981408,
130000,17313192,
140000,18644976,
150000,19976760,
160000,21308544,
170000,22640328,
180000,23972112,
190000,25303896,
200000,26635680,
210000,27967464,
220000,29299248,
230000,30631032,
240000,31962816,
250000,33294600,
260000,34626384,
270000,35958168,
280000,37289952,
290000,38621736,
300000,39953520,
