InputSize,AverageSortTime,
10000,22618603,
20000,44992873,
30000,67533901,
40000,90062888,
50000,112546820,
60000,134994632,
70000,157402788,
80000,179935313,
90000,202380395,
100000,224825849,
110000,247428999,
120000,269952836,
130000,292422804,
140000,315225417,
150000,337808025,
160000,360610824,
170000,383205286,
180000,405690148,
190000,428185810,
200000,451176466,
210000,473739711,
220000,496316857,
230000,518973876,
240000,541921773,
250000,564452995,
260000,586936616,
270000,609404040,
280000,631999432,
290000,654735764,
300000,677236266,
