InputSize,AverageSortTime,
10000,28345803,
20000,50859958,
30000,73281891,
40000,95802811,
50000,118413222,
60000,140832115,
70000,163282162,
80000,185811646,
90000,208214961,
100000,230588797,
110000,253033693,
120000,275424781,
130000,298011671,
140000,320487535,
150000,342946830,
160000,365448945,
170000,387902467,
180000,410314719,
190000,432856119,
200000,455297229,
210000,477788174,
220000,500179511,
230000,522597534,
240000,544987568,
250000,567369721,
260000,589852908,
270000,612167352,
280000,634754304,
290000,657311468,
300000,679814887,
