InputSize,Merge,MergeHybrid(Thres = 64)
50000,11895168,12536813
100000,31182196,32313004
150000,57800886,59333226
200000,92041121,93174598
250000,137318972,134513272
300000,189936675,183559322
350000,250730376,241694653
400000,316425813,309897900
450000,386422862,381992290
500000,463969095,460992418
550000,549613997,550304671
600000,642273120,649914713
650000,742144065,753155738
700000,853650206,864256934
750000,972734327,983414969
800000,1099386065,1107952236
850000,1236385425,1249666718
900000,1378169663,1392426363
950000,1530362096,1547600811
1000000,1690219518,1713678015
