InputSize,Quick,QuickHybrid(Thres = 64)
50000,1565328,52892380
100000,3130656,105784761
150000,4695984,158677142
200000,7221331,212529542
250000,10946697,267581961
300000,16911120,324074400
350000,24555561,382246857
400000,34120022,442339334
450000,45844502,504591830
500000,59969001,569244345
550000,76733520,636536880
600000,96378057,706709433
650000,119142614,780002006
700000,145267190,856654598
750000,174991785,873737174
800000,208556400,894659769
850000,246201033,919662384
900000,288165686,948985017
950000,334690358,982867670
1000000,386015049,1021550342
