InputSize,Shell(Knuth Gap),MergeHybrid(Thres = 64),QuickHybrid(Thres = 64)
50000,6995452,75549504,330893817
100000,13990905,210129036,661787635
150000,20986358,444755824,992681452
200000,27981811,591078243,1323575270
250000,34977264,804590715,1654469088
300000,41972716,961236715,1985362905
350000,48968169,1111547393,-1978710573
400000,57883641,1258366360,-1645896736
450000,68959132,1452718686,-1310922880
500000,82434643,1558266420,-973549005
550000,98550172,1697909809,-633535111
600000,117545721,1813206819,-290641197
650000,139661289,1952905211,55372736
700000,165136876,2099199457,404746688
750000,194212483,-2048915477,757720659
800000,227128108,-1881373725,1114534649
850000,264123753,-1720488132,1475428659
900000,305439417,-1502030484,1840642688
950000,351315100,-1221695794,-2084550560
1000000,401990803,-883856746,-1709976493
