InputSize,Shell(Knuth Gap),MergeHybrid(Thres = 64),QuickHybrid(Thres = 64)
50000,1054,11804249,2318090
100000,3103,31812112,2319269
150000,3537,59010200,2320262
200000,3971,93377288,2321317
250000,4468,134366374,2322931
300000,4964,183203652,2324358
350000,5337,238830864,2325413
400000,5709,301662140,2326282
450000,6144,372733583,2327213
500000,6640,450123796,2328206
550000,7075,535581212,2330937
600000,7571,628974885,2333481
650000,8006,728219948,2334101
700000,8440,836789565,2334846
750000,8875,951847996,2335528
800000,9372,1074554847,2336335
850000,9806,1206569432,2337080
900000,10241,1344458557,2337824
950000,10675,1489175782,2338631
1000000,11110,1642015321,2339376
