InputSize,Merge,MergeHybrid(Thres = 64),Quick,QuickHybrid(Thres = 64)
50000,12434785,11538319,4654,2119061
100000,33456223,30349032,7385,2119620
150000,60762049,56758826,12536,2120302
200000,94542229,90530069,14336,2120861
250000,138085918,131139654,16012,2121420
300000,186962046,179480509,17812,2121978
350000,246087990,234780226,19425,2122598
400000,310489215,297073436,21288,2123095
450000,382658946,367735093,23025,2123715
500000,465545065,444568001,24763,2124212
550000,556752775,531137234,26439,2124895
600000,655411675,623894102,28301,2125453
650000,761901763,722512849,30038,2126012
700000,878676296,831097484,31776,2126757
750000,999749337,945213649,33576,2127315
800000,1130517186,1067765410,35500,2127873
850000,1265474130,1198855477,37238,2128494
900000,1412971921,1336544580,42513,2129177
950000,1565217478,1481222583,44375,2129735
1000000,1717005027,1633702853,46238,2130294
